MATRIX_SIZE THREADS REAL_TIME
500 1 0.97
500 2 0.77
500 4 0.60
500 6 0.67
500 8 0.59
500 10 0.61
500 12 0.69
500 14 0.69
500 16 0.67
1000 1 3.99
1000 2 2.81
1000 4 2.31
1000 6 2.51
1000 8 2.29
1000 10 2.26
1000 12 2.34
1000 14 2.40
1000 16 2.38
1500 1 8.73
1500 2 6.71
1500 4 5.39
1500 6 5.64
1500 8 5.49
1500 10 5.14
1500 12 5.30
1500 14 5.21
1500 16 5.27
2000 1 16.86
2000 2 11.40
2000 4 9.31
2000 6 9.39
2000 8 9.43
2000 10 9.03
2000 12 8.70
2000 14 8.59
2000 16 8.66
3000 1 34.22
3000 2 25.61
3000 4 20.49
3000 6 19.75
3000 8 20.19
3000 10 19.90
3000 12 20.54
3000 14 21.35
3000 16 19.94
4000 1 63.17
4000 2 45.29
4000 4 34.95
4000 6 34.32
4000 8 35.15
4000 10 34.99
4000 12 34.25
4000 14 37.62
4000 16 37.07
5000 1 103.06
5000 2 69.47
5000 4 54.76
5000 6 54.55
5000 8 53.47
5000 10 54.38
5000 12 52.69
5000 14 52.20
5000 16 57.51
7000 1 211.97
7000 2 135.45
7000 4 108.30
7000 6 106.30
7000 8 107.79
7000 10 107.27
7000 12 100.64
7000 14 99.70
7000 16 101.12
