MATRIX_SIZE THREADS REAL_TIME
500 1 0.62
500 2 0.43
500 4 0.36
500 6 0.51
500 8 0.38
500 10 0.41
500 12 0.43
500 14 0.69
500 16 0.51
1000 1 2.44
1000 2 1.67
1000 4 1.35
1000 6 1.30
1000 8 1.33
1000 10 1.35
1000 12 1.44
1000 14 1.50
1000 16 1.52
1500 1 5.77
1500 2 3.58
1500 4 3.10
1500 6 3.28
1500 8 3.24
1500 10 3.22
1500 12 3.11
1500 14 3.30
1500 16 3.37
2000 1 10.43
2000 2 6.86
2000 4 5.73
2000 6 5.47
2000 8 5.72
2000 10 5.23
2000 12 5.44
2000 14 5.33
2000 16 6.40
3000 1 24.50
3000 2 15.97
3000 4 12.10
3000 6 12.18
3000 8 12.67
3000 10 12.33
3000 12 12.50
3000 14 12.24
3000 16 12.38
4000 1 45.32
4000 2 28.95
4000 4 21.37
4000 6 20.81
4000 8 21.77
4000 10 21.60
4000 12 20.60
4000 14 22.27
4000 16 21.41
5000 1 69.66
5000 2 44.06
5000 4 33.97
5000 6 33.29
5000 8 33.62
5000 10 34.21
5000 12 32.39
5000 14 32.29
5000 16 33.77
7000 1 141.84
7000 2 90.17
7000 4 67.90
7000 6 64.36
7000 8 65.40
7000 10 64.14
7000 12 61.07
7000 14 60.77
7000 16 61.16
